"Violent Crime, Rate Per 100,000 Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Florida,82941,"21,640,766",383.3,2.6,81092,"21,268,553",381.3,2.6,81896,"20,957,705",390.8,2.7,85558,"20,555,728",416.2,2.8,88501,"20,231,092.0",437.5,2.9,93405,"19,897,762",469.4,3.0,91065,"19,579,871",465.1,3.0,91702,"19,314,396",474.8,3.1,93965,19118938,491.5,3.1,98183,"18,941,742",518.3,3.2
Alachua,2025,"270,405",748.9,32.5,1765,"266,649",661.9,30.8,1811,"263,753",686.6,31.5,1645,"259,349",634.3,30.6,1457,"257,478.0",565.9,29.0,1546,"255,631",604.8,30.1,1452,"251,760",576.7,29.6,1430,"248,526",575.4,29.7,1534,246893,621.3,31,1568,"247,151",634.4,31.3
Baker,132,"28,588",461.7,78.6,121,"28,089",430.8,76.6,95,"27,488",345.6,69.4,91,"27,066",336.2,69.0,118,"26,967.0",437.6,78.8,125,"27,003",462.9,81.0,137,"27,012",507.2,84.7,94,"26,895",349.5,70.5,64,26926,237.7,58.2,46,"26,915",170.9,49.3
Bay,843,"175,776",479.6,32.3,826,"179,900",459.1,31.2,760,"182,218",417.1,29.6,899,"178,953",502.4,32.8,897,"176,637.0",507.8,33.1,953,"174,016",547.7,34.7,904,"171,285",527.8,34.3,884,"170,004",520.0,34.2,870,169477,513.3,34,915,"169,311",540.4,34.9
Bradford,98,"28,818",340.1,67.2,112,"28,455",393.6,72.8,96,"28,083",341.8,68.3,100,"27,808",359.6,70.4,130,"27,498.0",472.8,81.1,97,"27,325",355.0,70.5,110,"27,317",402.7,75.1,128,"27,278",469.2,81.1,130,27083,480,82.3,122,"28,385",429.8,76.1
Brevard,2288,"604,154",378.7,15.5,2224,"593,372",374.8,15.5,2214,"584,050",379.1,15.8,2703,"576,970",468.5,17.6,2870,"570,496.0",503.1,18.4,2988,"563,818",530.0,19.0,2744,"554,431",494.9,18.5,2889,"549,144",526.1,19.1,2963,546128,542.5,19.5,3262,"545,304",598.2,20.5
Broward,7022,"1,946,104",360.8,8.4,7331,"1,927,014",380.4,8.7,7071,"1,903,210",371.5,8.6,7543,"1,884,545",400.3,9.0,7550,"1,860,979.0",405.7,9.1,7745,"1,834,008",422.3,9.4,7734,"1,809,422",427.4,9.5,8080,"1,788,781",451.7,9.8,8720,1774943,491.3,10.3,8749,"1,756,730",498.0,10.4
Calhoun,36,"14,894",241.7,78.9,36,"14,982",240.3,78.4,31,"15,315",202.4,71.2,33,"14,658",225.1,76.7,30,"14,594.0",205.6,73.5,28,"14,550",192.4,71.2,20,"14,579",137.2,60.1,18,"14,617",123.1,56.9,20,14631,136.7,59.9,13,"14,685",88.5,48.1
Charlotte,292,"185,392",157.5,18.1,367,"182,298",201.3,20.6,361,"175,413",205.8,21.2,376,"173,954",216.1,21.8,391,"171,219.0",228.4,22.6,347,"167,966",206.6,21.7,295,"164,987",178.8,20.4,390,"163,703",238.2,23.6,399,163682,243.8,23.9,396,"161,115",245.8,24.2
Citrus,405,"149,781",270.4,26.3,373,"147,735",252.5,25.6,345,"145,164",237.7,25.0,399,"144,922",275.3,27.0,338,"143,458.0",235.6,25.1,419,"141,830",295.4,28.2,486,"140,917",344.9,30.6,528,"140,539",375.7,32.0,451,140685,320.6,29.5,442,"140,912",313.7,29.2
Clay,568,"219,925",258.3,21.2,554,"217,109",255.2,21.2,638,"213,565",298.7,23.1,587,"210,767",278.5,22.5,554,"206,387.0",268.4,22.3,580,"202,229",286.8,23.3,536,"198,500",270.0,22.8,659,"193,713",340.2,25.9,798,192132,415.3,28.8,775,"191,336",405.0,28.5
Collier,876,"386,478",226.7,15.0,896,"377,700",237.2,15.5,913,"367,471",248.5,16.1,996,"358,506",277.8,17.2,962,"351,768.0",273.5,17.3,1025,"345,528",296.6,18.1,900,"338,270",266.1,17.4,785,"334,255",234.9,16.4,829,331136,250.4,17,1028,"325,054",316.3,19.3
Columbia,369,"70,694",522.0,53.1,355,"70,614",502.7,52.2,335,"69,566",481.6,51.4,376,"69,250",543.0,54.7,373,"68,687.0",543.0,55.0,475,"68,251",696.0,62.4,407,"67,924",599.2,58.0,468,"67,519",693.1,62.6,442,67684,653,60.7,438,"67,581",648.1,60.5
Miami-Dade,13129,"2,864,600",458.3,7.8,13337,"2,830,500",471.2,8.0,13732,"2,804,160",489.7,8.2,14458,"2,754,749",524.8,8.5,15635,"2,712,144.0",576.5,9.0,16577,"2,665,425",621.9,9.4,16902,"2,622,804",644.4,9.7,17239,"2,589,743",665.7,9.9,17173,2559713,670.9,10,18320,"2,524,253",725.8,10.5
DeSoto,186,"36,388",511.2,73.3,159,"35,718",445.2,69.0,142,"35,940",395.1,64.9,156,"35,454",440.0,68.9,163,"35,215.0",462.9,70.9,149,"34,876",427.2,68.5,147,"34,490",426.2,68.8,185,"34,368",538.3,77.4,149,34375,433.5,69.4,170,"34,628",490.9,73.6
Dixie,92,"16,704",550.8,112.2,89,"16,516",538.9,111.7,75,"16,767",447.3,101.0,95,"17,040",557.5,111.8,80,"16,844.0",474.9,103.8,71,"16,531",429.5,99.7,72,"16,376",439.7,101.3,67,"16,279",411.6,98.3,58,16279,356.3,91.5,70,"16,363",427.8,100.0
Duval,6655,"988,783",673.0,16.1,6087,"971,842",626.3,15.7,5611,"954,454",587.9,15.3,5925,"942,841",628.4,16.0,5755,"927,903.0",620.2,16.0,5907,"909,960",649.1,16.5,6167,"893,858",689.9,17.2,5529,"878,948",629.0,16.5,5506,871038,632.1,16.6,5585,"865,427",645.3,16.9
Escambia,1939,"324,620",597.3,26.5,1777,"322,901",550.3,25.5,1710,"317,051",539.3,25.5,1733,"312,811",554.0,26.0,1980,"310,642.0",637.4,28.0,2160,"307,730",701.9,29.5,2140,"304,654",702.4,29.7,2180,"301,757",722.4,30.2,2442,299718,814.8,32.2,2173,"299,442",725.7,30.4
Flagler,252,"114,053",220.9,27.3,208,"110,636",188.0,25.5,241,"108,481",222.2,28.0,264,"106,076",248.9,30.0,258,"103,584.0",249.1,30.4,282,"101,826",276.9,32.3,250,"99,646",250.9,31.1,288,"98,062",293.7,33.9,257,97347,264,32.2,311,"96,443",322.5,35.8
Franklin,32,"12,229",261.7,90.5,59,"12,017",491.0,125.0,57,"12,360",461.2,119.4,25,"12,006",208.2,81.5,28,"11,937.0",234.6,86.8,25,"11,852",210.9,82.6,35,"11,823",296.0,97.9,34,"11,613",292.8,98.3,92,11525,798.3,162.5,104,"11,529",902.1,172.6
Gadsden,120,"46,345",258.9,46.3,169,"47,926",352.6,53.1,211,"48,173",438.0,59.0,213,"48,690",437.5,58.6,102,"48,527.0",210.2,40.7,189,"48,356",390.9,55.6,200,"48,174",415.2,57.4,191,"47,729",400.2,56.6,244,47376,515,64.5,248,"48,259",513.9,63.8
Gilchrist,26,"18,027",144.2,55.4,40,"17,682",226.2,70.0,28,"17,578",159.3,59.0,25,"16,977",147.3,57.7,3,"16,862.0",17.8,,9,"16,837",53.5,34.9,55,"16,849",326.4,86.1,36,"16,869",213.4,69.6,33,16929,194.9,66.4,35,"16,980",206.1,68.2
Glades,33,"13,230",249.4,85.0,24,"13,098",183.2,73.2,26,"13,193",197.1,75.7,31,"13,263",233.7,82.2,29,"13,101.0",221.4,80.5,35,"12,881",271.7,89.9,35,"12,862",272.1,90.0,42,"12,704",330.6,99.8,39,12646,308.4,96.6,41,"12,776",320.9,98.1
Gulf,71,"14,716",482.5,112.0,36,"16,507",218.1,71.2,45,"16,235",277.2,80.9,44,"16,957",259.5,76.6,60,"16,718.0",358.9,90.6,76,"16,364",464.4,104.2,65,"16,527",393.3,95.4,93,"16,230",573.0,116.1,69,15935,433,101.9,60,"15,808",379.6,95.9
Hamilton,64,"14,618",437.8,107.0,55,"14,787",371.9,98.1,50,"14,706",340.0,94.1,78,"14,749",528.8,117.1,36,"14,666.0",245.5,80.1,70,"14,665",477.3,111.6,59,"14,404",409.6,104.3,67,"14,424",464.5,111.0,49,14787,331.4,92.6,55,"14,775",372.3,98.2
Hardee,94,"27,571",340.9,68.8,72,"27,311",263.6,60.8,67,"27,436",244.2,58.4,72,"27,675",260.2,60.0,81,"27,643.0",293.0,63.7,72,"27,634",260.5,60.1,68,"27,704",245.5,58.3,74,"27,681",267.3,60.8,76,27755,273.8,61.5,80,"27,673",289.1,63.3
Hendry,151,"40,594",372.0,59.2,152,"40,089",379.2,60.2,190,"39,682",478.8,67.9,169,"38,675",437.0,65.7,154,"38,436.0",400.7,63.2,286,"38,160",749.5,86.5,275,"37,939",724.8,85.4,270,"37,806",714.2,84.9,233,37991,613.3,78.5,251,"38,734",648.0,79.9
Hernando,487,"192,189",253.4,22.5,518,"189,661",273.1,23.5,468,"185,421",252.4,22.8,512,"183,065",279.7,24.2,467,"180,213.0",259.1,23.5,528,"177,434",297.6,25.3,450,"175,338",256.6,23.7,469,"174,053",269.5,24.4,515,173214,297.3,25.6,548,"173,063",316.6,26.5
Highlands,296,"104,384",283.6,32.3,280,"103,391",270.8,31.7,314,"103,317",303.9,33.6,329,"102,590",320.7,34.6,327,"101,727.0",321.4,34.8,300,"100,955",297.2,33.6,275,"100,055",274.8,32.4,349,"99,215",351.8,36.8,265,98980,267.7,32.2,294,"98,767",297.7,34.0
Hillsborough,4295,"1,481,163",290.0,8.7,3656,"1,445,243",253.0,8.2,3821,"1,419,285",269.2,8.5,4127,"1,388,111",297.3,9.1,4103,"1,359,850.0",301.7,9.2,4611,"1,331,997",346.2,10.0,4286,"1,307,906",327.7,9.8,4366,"1,282,511",340.4,10.1,4570,1260887,362.4,10.5,4628,"1,242,491",372.5,10.7
Holmes,64,"20,184",317.1,77.6,75,"20,218",371.0,83.8,55,"20,404",269.6,71.1,73,"20,132",362.6,83.0,64,"20,037.0",319.4,78.1,50,"19,907",251.2,69.5,58,"19,994",290.1,74.5,71,"20,031",354.5,82.3,48,19997,240,67.8,65,"19,920",326.3,79.2
Indian River,219,"158,238",138.4,18.3,352,"155,308",226.6,23.7,329,"152,079",216.3,23.4,457,"149,930",304.8,27.9,345,"147,163.0",234.4,24.7,391,"144,062",271.4,26.9,406,"141,468",287.0,27.9,419,"139,787",299.7,28.7,438,139487,314,29.4,450,"138,913",323.9,29.9
Jackson,117,"47,171",248.0,44.9,100,"50,325",198.7,38.9,180,"50,689",355.1,51.8,253,"50,303",503.0,61.8,153,"50,311.0",304.1,48.1,189,"50,461",374.5,53.3,179,"50,282",356.0,52.1,193,"50,202",384.4,54.1,207,49897,414.9,56.4,186,"49,949",372.4,53.4
Jefferson,112,"14,831",755.2,139.3,75,"14,842",505.3,114.1,85,"14,725",577.2,122.4,118,"14,530",812.1,145.9,107,"14,501.0",737.9,139.3,139,"14,506",958.2,158.5,139,"14,583",953.2,157.7,103,"14,579",706.5,136.0,88,14475,607.9,126.6,100,"14,614",684.3,133.7
Lafayette,26,"8,721",298.1,114.4,13,"8,613",150.9,82.0,22,"8,367",262.9,109.7,35,"8,651",404.6,133.8,13,"8,620.0",150.8,81.9,22,"8,649",254.4,106.2,22,"8,700",252.9,105.5,29,"8,632",336.0,122.1,27,8647,312.2,117.6,12,"8,712",137.7,77.9
Lake,973,"368,828",263.8,16.6,1007,"354,537",284.0,17.5,1019,"342,356",297.6,18.2,1124,"333,598",336.9,19.7,969,"325,887.0",297.3,18.7,1032,"318,366",324.2,19.7,935,"311,436",300.2,19.2,941,"304,740",308.8,19.7,997,300314,332,20.6,1086,"298,509",363.8,21.6
Lee,2100,"756,912",277.4,11.8,1979,"734,630",269.4,11.9,2126,"721,053",294.8,12.5,2297,"700,837",327.8,13.4,2562,"684,465.0",374.3,14.5,2488,"669,297",371.7,14.6,2301,"656,466",350.5,14.3,2184,"645,271",338.5,14.2,2234,639878,349.1,14.5,2213,"628,356",352.2,14.6
Leon,1805,"300,519",600.6,27.6,1699,"296,717",572.6,27.1,1789,"290,223",616.4,28.5,1897,"291,879",649.9,29.2,2112,"288,495.0",732.1,31.1,2477,"285,233",868.4,34.1,2134,"282,109",756.4,32.0,1833,"278,909",657.2,30.0,1872,277824,673.8,30.4,2031,"276,621",734.2,31.8
Levy,465,"41,634","1,116.9",100.9,477,"41,354","1,153.5",102.9,496,"41,550","1,193.7",104.4,468,"40,832","1,146.2",103.2,420,"40,599.0","1,034.5",98.4,381,"40,457",941.7,94.1,16,"40,479",39.5,19.4,19,"40,350",47.1,21.2,112,40282,278,51.4,162,"40,673",398.3,61.2
Liberty,6,"8,774",68.4,54.7,19,"9,167",207.3,93.1,9,"8,781",102.5,66.9,12,"8,839",135.8,76.8,2,"8,754.0",22.8,,0,"8,701",0.0,,7,"8,693",80.5,59.6,12,"8,514",140.9,79.7,17,8516,199.6,94.8,7,"8,406",83.3,61.7
Madison,128,"19,254",664.8,114.8,111,"19,533",568.3,105.4,138,"19,420",710.6,118.1,215,"19,295","1,114.3",148.1,173,"19,252.0",898.6,133.3,203,"19,200","1,057.3",144.7,150,"19,265",778.6,124.1,157,"19,400",809.3,126.1,154,19256,799.8,125.8,134,"19,285",694.8,117.2
Manatee,1876,"397,727",471.7,21.3,1820,"388,729",468.2,21.5,1804,"381,071",473.4,21.8,1882,"367,130",512.6,23.1,1777,"359,486.0",494.3,22.9,2137,"351,617",607.8,25.7,1970,"341,782",576.4,25.4,1954,"334,924",583.4,25.8,2006,331243,605.6,26.4,2046,"326,968",625.7,27.0
Marion,1557,"367,247",424.0,21.0,1556,"360,053",432.2,21.4,1475,"355,325",415.1,21.1,1388,"352,067",394.2,20.7,1174,"346,956.0",338.4,19.3,1237,"342,290",361.4,20.1,1418,"338,269",419.2,21.8,1453,"335,551",433.0,22.2,1616,333446,484.6,23.6,1668,"331,959",502.5,24.1
Martin,355,"161,017",220.5,22.9,349,"158,006",220.9,23.1,397,"155,705",255.0,25.0,385,"152,333",252.7,25.2,371,"151,081.0",245.6,25.0,411,"150,331",273.4,26.4,379,"148,900",254.5,25.6,278,"148,189",187.6,22.0,397,147427,269.3,26.5,358,"146,778",243.9,25.2
Monroe,297,"76,280",389.4,44.2,282,"73,253",385.0,44.8,264,"76,534",344.9,41.5,292,"77,300",377.7,43.2,281,"76,461.0",367.5,42.9,365,"74,551",489.6,50.1,393,"74,028",530.9,52.3,391,"73,735",530.3,52.4,391,73039,535.3,52.9,354,"72,668",487.1,50.6
Nassau,169,"87,389",193.4,29.1,199,"85,135",233.7,32.4,201,"83,125",241.8,33.4,207,"79,592",260.1,35.4,171,"78,174.0",218.7,32.8,97,"76,867",126.2,25.1,89,"75,569",117.8,24.5,87,"74,841",116.2,24.4,121,73922,163.7,29.1,130,"73,671",176.5,30.3
Okaloosa,660,"204,326",323.0,24.6,739,"201,104",367.5,26.4,718,"198,409",361.9,26.4,728,"194,811",373.7,27.1,799,"193,247.0",413.5,28.6,774,"192,118",402.9,28.3,780,"191,126",408.1,28.6,835,"188,758",442.4,29.9,900,187920,478.9,31.2,782,"182,951",427.4,29.9
Okeechobee,204,"42,187",483.6,66.2,192,"41,347",464.4,65.5,202,"41,492",486.8,67.0,136,"41,469",328.0,55.0,156,"40,983.0",380.6,59.6,159,"40,208",395.4,61.3,152,"39,851",381.4,60.5,152,"39,770",382.2,60.6,199,39790,500.1,69.3,201,"39,845",504.5,69.6
Orange,7842,"1,426,631",549.7,12.1,7778,"1,389,297",559.9,12.4,7805,"1,370,447",569.5,12.6,7198,"1,317,704",546.3,12.6,8133,"1,287,703.0",631.6,13.7,8685,"1,259,067",689.8,14.5,8557,"1,233,931",693.5,14.6,8302,"1,209,579",686.4,14.7,8119,1182287,686.7,14.9,8658,"1,161,006",745.7,15.6
Osceola,1152,"388,132",296.8,17.1,1152,"368,678",312.5,18.0,1080,"360,426",299.6,17.8,1277,"339,470",376.2,20.6,1478,"326,342.0",452.9,23.0,1344,"311,980",430.8,23.0,1269,"298,228",425.5,23.4,1408,"289,971",485.6,25.3,1458,282802,515.6,26.4,1593,"275,464",578.3,28.3
Palm Beach,5561,"1,469,904",378.3,9.9,5643,"1,458,576",386.9,10.1,5865,"1,442,281",406.6,10.4,6255,"1,411,054",443.3,11.0,6535,"1,395,117.0",468.4,11.3,6536,"1,382,134",472.9,11.4,6304,"1,364,815",461.9,11.4,6227,"1,348,740",461.7,11.4,6568,1337906,490.9,11.8,6585,"1,327,798",495.9,11.9
Pasco,1689,"539,769",312.9,14.9,1693,"527,174",321.1,15.3,1761,"518,639",339.5,15.8,1648,"507,081",325.0,15.7,1653,"497,991.0",331.9,16.0,1652,"489,691",337.4,16.2,1351,"481,215",280.7,14.9,1367,"474,903",287.8,15.2,1517,469592,323,16.2,1463,"466,873",313.4,16.0
Pinellas,3688,"986,400",373.9,12.0,3379,"979,558",345.0,11.6,3538,"971,022",364.4,12.0,3986,"961,253",414.7,12.8,4071,"956,302.0",425.7,13.0,4592,"947,783",484.5,14.0,4753,"935,833",507.9,14.4,5116,"928,107",551.2,15.1,5116,921628,555.1,15.2,5638,"918,847",613.6,16.0
Polk,2115,"707,191",299.1,12.7,1990,"688,770",288.9,12.7,2072,"681,691",304.0,13.1,1936,"663,999",291.6,13.0,2199,"650,552.0",338.0,14.1,2195,"636,234",345.0,14.4,2208,"625,439",353.0,14.7,2286,"616,211",371.0,15.2,2170,608174,356.8,15,2543,"605,141",420.2,16.3
Putnam,151,"73,355",205.8,32.8,188,"73,012",257.5,36.8,254,"73,422",345.9,42.5,252,"73,068",344.9,42.5,368,"73,004.0",504.1,51.4,438,"72,821",601.5,56.2,408,"72,564",562.3,54.4,447,"72,545",616.2,56.9,521,72965,714,61.1,601,"73,864",813.7,64.8
St. Johns,377,"266,128",141.7,14.3,392,"249,734",157.0,15.5,371,"241,545",153.6,15.6,429,"229,272",187.1,17.7,460,"222,006.0",207.2,18.9,425,"215,185",197.5,18.8,557,"208,934",266.6,22.1,535,"203,022",263.5,22.3,590,197262,299.1,24.1,605,"193,516",312.6,24.9
St. Lucie,815,"316,620",257.4,17.6,812,"309,073",262.7,18.0,803,"304,743",263.5,18.2,721,"299,962",240.4,17.5,855,"294,144.0",290.7,19.5,882,"289,055",305.1,20.1,951,"283,817",335.1,21.3,1192,"281,371",423.6,24.0,1130,280530,402.8,23.4,1123,"279,907",401.2,23.4
Santa Rosa,241,"183,633",131.2,16.6,260,"179,875",144.5,17.6,261,"175,552",148.7,18.0,270,"171,851",157.1,18.7,239,"168,026.0",142.2,18.0,285,"163,892",173.9,20.2,248,"160,475",154.5,19.2,199,"157,923",126.0,17.5,245,155674,157.4,19.7,224,"155,225",144.3,18.9
Sarasota,978,"434,853",224.9,14.1,925,"426,977",216.6,13.9,947,"415,896",227.7,14.5,971,"407,501",238.3,15.0,901,"401,316.0",224.5,14.6,1048,"393,850",266.1,16.1,1029,"388,037",265.2,16.2,1121,"385,619",290.7,17.0,1235,384157,321.5,17.9,1472,"381,881",385.5,19.7
Seminole,1380,"480,417",287.3,15.1,1305,"472,775",276.0,15.0,1455,"463,627",313.8,16.1,1501,"457,028",328.4,16.6,1695,"450,706.0",376.1,17.9,1548,"444,403",348.3,17.3,1511,"438,606",344.5,17.3,1521,"432,336",351.8,17.6,1445,428790,337,17.3,1551,"425,398",364.6,18.1
Sumter,279,"133,310",209.3,24.5,249,"130,642",190.6,23.7,227,"125,779",180.5,23.5,305,"123,928",246.1,27.6,292,"119,433.0",244.5,28.0,280,"116,440",240.5,28.1,208,"112,466",184.9,25.1,175,"106,591",164.2,24.3,152,101273,150.1,23.8,177,"97,440",181.7,26.7
Suwannee,216,"46,028",469.3,62.4,212,"45,482",466.1,62.6,164,"45,123",363.5,55.5,189,"44,522",424.5,60.4,241,"44,340.0",543.5,68.4,147,"44,449",330.7,53.4,214,"44,263",483.5,64.6,177,"43,923",403.0,59.2,155,43818,353.7,55.6,183,"43,489",420.8,60.8
Taylor,138,"22,654",609.2,101.3,153,"22,652",675.4,106.7,242,"22,258","1,087.2",136.2,267,"22,220","1,201.6",143.3,261,"22,400.0","1,165.2",140.5,255,"22,752","1,120.8",136.8,157,"22,916",685.1,106.8,202,"23,002",878.2,120.6,154,22969,670.5,105.5,157,"22,570",695.6,108.4
Union,37,"15,493",238.8,76.9,47,"15,985",294.0,83.9,33,"15,966",206.7,70.4,31,"15,896",195.0,68.6,37,"15,873.0",233.1,75.0,22,"15,934",138.1,57.7,46,"15,724",292.5,84.4,53,"15,499",342.0,91.9,39,15506,251.5,78.8,36,"15,471",232.7,75.9
Volusia,2028,"546,612",371.0,16.1,1912,"539,563",354.4,15.9,1996,"532,926",374.5,16.4,2034,"525,121",387.3,16.8,2213,"519,037.0",426.4,17.7,2485,"512,247",485.1,19.0,2189,"505,420",433.1,18.1,2087,"499,893",417.5,17.9,2160,497494,434.2,18.3,2503,"495,835",504.8,19.7
Wakulla,82,"33,394",245.6,53.1,76,"32,418",234.4,52.6,58,"32,350",179.3,46.1,88,"32,134",273.9,57.1,52,"31,706.0",164.0,44.5,102,"31,323",325.6,63.1,86,"31,310",274.7,58.0,77,"30,974",248.6,55.5,92,30758,299.1,61,91,"30,856",294.9,60.5
Walton,120,"72,528",165.5,29.6,143,"70,352",203.3,33.3,154,"67,926",226.7,35.8,176,"65,724",267.8,39.5,224,"63,562.0",352.4,46.1,209,"61,111",342.0,46.3,235,"60,076",391.2,49.9,209,"58,233",358.9,48.6,216,57177,377.8,50.3,199,"55,794",356.7,49.5
Washington,43,"25,252",170.3,50.9,61,"25,347",240.7,60.3,43,"25,243",170.3,50.9,53,"24,935",212.6,57.2,44,"24,880.0",176.8,52.2,48,"24,952",192.4,54.4,50,"24,989",200.1,55.4,58,"24,805",233.8,60.1,69,24921,276.9,65.2,69,"24,679",279.6,65.9